validation,run_id,event,robot_id,sim_time_s,wall_log_s,wall_time_s,delta_from_handoff_sim_s,source
validation2_final,fast_trial_20260831T025852Z,SHARED_LOCAL_COSTMAP_ACTIVE,robot1,10.88,1788145144.6254323,,-39.8,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_GLOBAL_COSTMAP_ACTIVE,robot1,11.34,1788145144.844251,,-39.34,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_LOCAL_COSTMAP_ACTIVE,robot2,15.84,1788145146.6534293,,-34.84,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_GLOBAL_COSTMAP_ACTIVE,robot2,16.4,1788145146.8668737,,-34.28,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_NAV2_PROCESSES_LAUNCH_STARTED,,50.68,1788145160.691178,,0.0,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_NAV2_PROCESSES_PRESENT,,50.68,1788145160.6965804,,0.0,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,HANDOFF_LOCKED,robot2,50.68,1788145160.6993074,,0.0,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,HANDOFF_LOCKED,robot1,50.68,1788145160.7057948,,0.0,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_NAV2_LIFECYCLE_STARTUP_REQUESTED,robot2,54.42,1788145163.557925,,3.740000000000002,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_NAV2_LIFECYCLE_STARTUP_REQUESTED,robot1,54.96,1788145164.2775917,,4.280000000000001,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,LOCAL_NAV2_PROCESSES_TEARDOWN_COMPLETE,robot2,55.6,1788145165.0194693,,4.920000000000002,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,LOCAL_NAV2_PROCESSES_TEARDOWN_COMPLETE,robot1,56.34,1788145165.4130056,,5.660000000000004,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_NAV2_LIFECYCLE_ACTIVE,robot1,75.96,1788145171.921544,,25.279999999999994,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_PLANNER_ACTIVE,robot1,76.06,1788145171.923673,,25.380000000000003,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_CONTROLLER_ACTIVE,robot1,76.06,1788145171.9240732,,25.380000000000003,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_LOCAL_COSTMAP_ACTIVE,robot1,76.06,1788145171.9351552,,25.380000000000003,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
validation2_final,fast_trial_20260831T025852Z,SHARED_GLOBAL_COSTMAP_ACTIVE,robot1,76.3,1788145172.0054376,,25.619999999999997,/home/arash/webots_ws_clean_validation_20260823/results/final_runtime_reliability_validations/validation2_final/fast_trial_20260831T025852Z
